('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         635329 function calls (610448 primitive calls) in 1.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      547    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      756    0.000    0.000    0.000    0.000 _connection.py:182(their_state)
      510    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      574    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      437    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
     1668    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      922    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      355    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
     1353    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1366    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      160    0.000    0.000    0.000    0.000 _receivebuffer.py:66(_extract)
       44    0.000    0.000    0.001    0.000 typing.py:1323(__class_getitem__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      195    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       75    0.000    0.000    0.002    0.000 abc.py:105(__new__)
      390    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      154    0.000    0.000    0.001    0.000 _state.py:226(process_event)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
       27    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      149    0.000    0.000    0.549    0.004 ssl.py:1252(recv)
      555    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       73    0.000    0.000    0.004    0.000 typing.py:523(Optional)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      338    0.000    0.000    0.147    0.000 re.py:249(compile)
      919    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      149    0.000    0.000    0.549    0.004 ssl.py:1121(read)
      155    0.000    0.000    0.000    0.000 _connection.py:292(_respond_to_state_changes)
      269    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       26    0.000    0.000    0.000    0.000 typing.py:801(__init__)
       65    0.000    0.000    0.002    0.000 typing.py:1223(__getitem__)
      493    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      268    0.000    0.000    0.000    0.000 types.py:176(__get__)
       32    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
      538    0.000    0.000    0.000    0.000 {built-in method from_bytes}
  235/162    0.000    0.000    0.009    0.000 typing.py:401(__getitem__)
      155    0.000    0.000    0.000    0.000 _state.py:246(_fire_event_triggered_transitions)
       37    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      149    0.000    0.000    0.000    0.000 _connection.py:310(receive_data)
       90    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
    49/20    0.000    0.000    0.193    0.010 {built-in method builtins.__import__}
      906    0.000    0.000    0.000    0.000 _exceptions.py:5(map_exceptions)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       79    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      384    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
      149    0.000    0.000    0.003    0.000 _decoders.py:74(decode)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       13    0.000    0.000    0.004    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      332    0.000    0.000    0.001    0.000 typing.py:1143(<genexpr>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      149    0.000    0.000    0.000    0.000 _receivebuffer.py:52(__iadd__)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      338    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      299    0.000    0.000    0.000    0.000 _decoders.py:173(decode)
      367    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      767    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       15    0.000    0.000    0.000    0.000 _util.py:105(make_sentinel)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.009    0.005 _sockets.py:1(<module>)
      469    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1023    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       56    0.000    0.000    0.001    0.000 typing.py:664(__init__)
      302    0.000    0.000    0.000    0.000 _events.py:85(__eq__)
      150    0.000    0.000    0.132    0.001 http11.py:289(__iter__)
      356    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      174    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _models.py:305(Request)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
      298    0.000    0.000    0.000    0.000 _receivebuffer.py:59(__len__)
       27    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2371(_signature_from_callable)
    42/30    0.000    0.000    0.012    0.000 css_parser.py:581(parse_pseudo_class)
    55/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       25    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       36    0.000    0.000    0.000    0.000 element.py:2011(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1331(_real_close)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
       15    0.000    0.000    0.002    0.000 dataclasses.py:529(_init_fn)
      288    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       13    0.000    0.000    0.006    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.000    0.000 zipfile.py:776(ZipExtFile)
      601    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
        1    0.000    0.000    0.002    0.002 _models.py:554(text)
        8    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
       63    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
